N,K,M,ef_construction,ef,recall_at_10,build_time_sec,query_time_sec,qps,exact_time_sec
20000,10,32,400,200,0.99985,1.283043384552002,2.0009469985961914,9995.267247973805,3.256772994995117
20000,10,32,200,200,0.9997349999999998,0.7390625476837158,1.8425486087799072,10854.530461068018,3.256772994995117
20000,10,32,100,200,0.9992800000000001,0.3934464454650879,1.5808656215667725,12651.296686544614,3.256772994995117
20000,10,32,400,100,0.99928,1.285301923751831,1.1638391017913818,17184.505976140506,3.256772994995117
20000,10,32,200,100,0.99905,0.7372660636901855,1.0638604164123535,18799.45873674463,3.256772994995117
20000,10,16,400,200,0.9989950000000001,0.8794808387756348,1.2347862720489502,16197.13504492796,3.256772994995117
20000,10,16,200,200,0.9985649999999999,0.5113208293914795,1.200610876083374,16658.1865935147,3.256772994995117
20000,10,16,100,200,0.9974649999999998,0.29724907875061035,1.1266615390777588,17751.5600793218,3.256772994995117
20000,10,32,100,100,0.9972549999999999,0.3910701274871826,0.9137217998504639,21888.500420229793,3.256772994995117
20000,10,32,400,50,0.99635,1.2725565433502197,0.670098066329956,29846.377724289698,3.256772994995117
20000,10,32,200,50,0.9958849999999999,0.7366325855255127,0.608579158782959,32863.43232652946,3.256772994995117
20000,10,16,400,100,0.9956599999999999,0.8782556056976318,0.7074048519134521,28272.35344216569,3.256772994995117
20000,10,16,200,100,0.995135,0.5219211578369141,0.6877176761627197,29081.701246352484,3.256772994995117
20000,10,32,100,50,0.99266,0.393543004989624,0.5256223678588867,38050.13108835083,3.256772994995117
20000,10,8,400,200,0.9919600000000001,0.5390691757202148,0.6469557285308838,30914.016397097654,3.256772994995117
20000,10,16,100,100,0.991825,0.2909872531890869,0.6441776752471924,31047.334871276522,3.256772994995117
20000,10,8,200,200,0.9883,0.30344247817993164,0.6324462890625,31623.238756996718,3.256772994995117
20000,10,16,400,50,0.98615,0.8821377754211426,0.4037940502166748,49530.19983644646,3.256772994995117
20000,10,16,200,50,0.9854550000000001,0.5152289867401123,0.3916018009185791,51072.28810767995,3.256772994995117
20000,10,8,100,200,0.9845099999999999,0.17691850662231445,0.6175854206085205,32384.18416725829,3.256772994995117
20000,10,16,100,50,0.9811400000000001,0.29781484603881836,0.3674592971801758,54427.79691105061,3.256772994995117
20000,10,8,400,100,0.9794050000000001,0.5343737602233887,0.3596925735473633,55603.03845796933,3.256772994995117
20000,10,8,200,100,0.9749650000000002,0.3081972599029541,0.3539266586303711,56508.882595609495,3.256772994995117
20000,10,8,100,100,0.9649600000000003,0.17725300788879395,0.34576416015625,57842.89496910856,3.256772994995117
20000,10,8,400,50,0.955405,0.5329527854919434,0.20439815521240234,97848.24123885465,3.256772994995117
20000,10,8,200,50,0.95068,0.30826473236083984,0.20203566551208496,98992.4226958021,3.256772994995117
20000,10,8,100,50,0.93953,0.17864441871643066,0.199737548828125,100131.39801375095,3.256772994995117
