N,K,M,ef_construction,ef,recall_at_10,build_time_sec,query_time_sec,qps,exact_time_sec
20000,10,32,400,200,0.99995,0.9242525100708008,0.9568171501159668,20902.635365154136,6.614164590835571
20000,10,32,200,200,0.9998849999999998,0.5848054885864258,0.6011357307434082,33270.35638900809,6.614164590835571
20000,10,32,400,100,0.999575,0.8948137760162354,0.46943187713623047,42604.690848883154,6.614164590835571
20000,10,16,400,200,0.9995450000000001,0.6551783084869385,0.4416515827178955,45284.56544165716,6.614164590835571
20000,10,32,100,200,0.999525,0.39308905601501465,0.7075033187866211,28268.418633428184,6.614164590835571
20000,10,32,200,100,0.9993700000000001,0.38916921615600586,0.39798474311828613,50253.18268056257,6.614164590835571
20000,10,16,200,200,0.9992900000000001,0.509476900100708,0.5167820453643799,38701.034951588,6.614164590835571
20000,10,16,100,200,0.998705,0.3037123680114746,0.4285438060760498,46669.67464336839,6.614164590835571
20000,10,32,100,100,0.997965,0.3124265670776367,0.37929320335388184,52729.655641469355,6.614164590835571
20000,10,32,400,50,0.997705,1.0187759399414062,0.24675774574279785,81051.1537937558,6.614164590835571
20000,10,16,400,100,0.9975450000000001,0.8084855079650879,0.4046211242675781,49428.95662257587,6.614164590835571
20000,10,16,200,100,0.9971599999999998,0.6889393329620361,0.2144308090209961,93270.17927746424,6.614164590835571
20000,10,32,200,50,0.99713,0.5750570297241211,0.3500494956970215,57134.77735534466,6.614164590835571
20000,10,8,400,200,0.9957149999999998,0.627443790435791,0.37810730934143066,52895.036689015746,6.614164590835571
20000,10,16,100,100,0.9952850000000001,0.37490320205688477,0.2793252468109131,71601.11815291381,6.614164590835571
20000,10,32,100,50,0.9939950000000001,0.38203978538513184,0.17402243614196777,114927.70957236784,6.614164590835571
20000,10,8,200,200,0.99384,0.475801944732666,0.31092286109924316,64324.636436483255,6.614164590835571
20000,10,8,100,200,0.9917100000000001,0.2666144371032715,0.2927052974700928,68328.11080928081,6.614164590835571
20000,10,16,400,50,0.9902350000000001,0.7374303340911865,0.21176457405090332,94444.50323968002,6.614164590835571
20000,10,16,200,50,0.9898849999999999,0.48727846145629883,0.11603879928588867,172356.14400598314,6.614164590835571
20000,10,16,100,50,0.9873349999999999,0.25425243377685547,0.09470534324645996,211181.3263582421,6.614164590835571
20000,10,8,400,100,0.987115,0.6629307270050049,0.17917704582214355,111621.44072769562,6.614164590835571
20000,10,8,200,100,0.9848049999999999,0.4084131717681885,0.13460278511047363,148585.33561237413,6.614164590835571
20000,10,8,100,100,0.9789950000000001,0.16823196411132812,0.11952018737792969,167335.7483682556,6.614164590835571
20000,10,8,400,50,0.96703,0.7288787364959717,0.10510993003845215,190276.97946981262,6.614164590835571
20000,10,8,200,50,0.9648900000000001,0.3380413055419922,0.1097416877746582,182246.1491668296,6.614164590835571
20000,10,8,100,50,0.957825,0.3042612075805664,0.1250019073486328,159997.55863100232,6.614164590835571
