N,K,M,ef_construction,ef,recall_at_10,build_time_sec,query_time_sec,qps,exact_time_sec
20000,10,32,400,200,0.9999899999999999,1.221912145614624,1.2565414905548096,15916.704820601874,6.281944513320923
20000,10,32,200,200,0.99995,0.8959991931915283,0.9614472389221191,20801.973514867077,6.281944513320923
20000,10,32,400,100,0.99982,1.5032446384429932,0.6789588928222656,29456.864342500772,6.281944513320923
20000,10,32,200,100,0.999765,1.0805284976959229,0.5619893074035645,35587.86570584697,6.281944513320923
20000,10,16,400,200,0.9997449999999999,1.1712687015533447,0.4742903709411621,42168.260680293446,6.281944513320923
20000,10,32,100,200,0.9996550000000001,0.3186657428741455,1.3096261024475098,15271.534342987492,6.281944513320923
20000,10,16,200,200,0.999375,0.7868695259094238,0.53135085105896,37639.91336447629,6.281944513320923
20000,10,32,200,50,0.99885,1.0113518238067627,0.27654266357421875,72321.57144039507,6.281944513320923
20000,10,32,400,50,0.99885,1.4231362342834473,0.5038168430328369,39696.96582513116,6.281944513320923
20000,10,16,100,200,0.99884,0.33454251289367676,0.9495036602020264,21063.636548535884,6.281944513320923
20000,10,32,100,100,0.9985649999999999,0.42759084701538086,0.9847221374511719,20310.297940256994,6.281944513320923
20000,10,16,400,100,0.9985550000000001,1.1680212020874023,0.19490909576416016,102611.93774250527,6.281944513320923
20000,10,16,200,100,0.99815,0.5952799320220947,0.2889101505279541,69225.67436087663,6.281944513320923
20000,10,32,100,50,0.997185,0.5709302425384521,0.32738614082336426,61089.94091717116,6.281944513320923
20000,10,8,400,200,0.9956800000000001,0.6870894432067871,0.367750883102417,54384.6416663263,6.281944513320923
20000,10,16,100,100,0.995605,0.22012019157409668,0.5529623031616211,36168.83083285762,6.281944513320923
20000,10,16,400,50,0.9945,1.1220552921295166,0.1622314453125,123280.66215199398,6.281944513320923
20000,10,16,200,50,0.9939550000000001,0.5128459930419922,0.2636535167694092,75857.13342671609,6.281944513320923
20000,10,8,200,200,0.993175,0.6401734352111816,0.34935593605041504,57248.20429876374,6.281944513320923
20000,10,16,100,50,0.9907549999999999,0.3552360534667969,0.36632847785949707,54595.8100687735,6.281944513320923
20000,10,8,100,200,0.9898400000000002,0.16145038604736328,0.3400249481201172,58819.21344469936,6.281944513320923
20000,10,8,400,100,0.9887400000000002,0.8615319728851318,0.37914109230041504,52750.810730251476,6.281944513320923
20000,10,8,200,100,0.985625,0.5580568313598633,0.18919587135314941,105710.55201658381,6.281944513320923
20000,10,8,100,100,0.9774700000000001,0.31670427322387695,0.2626521587371826,76146.33778819455,6.281944513320923
20000,10,8,400,50,0.9743400000000001,0.8694236278533936,0.09664273262023926,206947.79066927513,6.281944513320923
20000,10,8,200,50,0.9707400000000002,0.5427262783050537,0.12932252883911133,154652.09487885726,6.281944513320923
20000,10,8,100,50,0.96016,0.3455848693847656,0.23304080963134766,85821.8782866333,6.281944513320923
