threshold,n_pairs,n_drop,drop_rate,n_components,duplicate_components,max_component_size
0.80,266,98,0.00098,99902,48,27
0.82,266,98,0.00098,99902,48,27
0.84,266,98,0.00098,99902,48,27
0.86,266,98,0.00098,99902,48,27
0.88,266,98,0.00098,99902,48,27
0.90,266,98,0.00098,99902,48,27
0.92,106,55,0.00055,99945,29,21
