N,K,M,ef_construction,ef,recall_at_10,build_time_sec,query_time_sec,qps,exact_time_sec
20000,10,32,400,200,0.999975,0.4108397960662842,0.4203007221221924,47584.97653540904,3.2053234577178955
20000,10,32,200,200,0.9998049999999999,0.24146175384521484,0.3791213035583496,52753.564129170205,3.2053234577178955
20000,10,32,400,100,0.999785,0.40993618965148926,0.24205493927001953,82625.87022729332,3.2053234577178955
20000,10,16,400,200,0.9995799999999999,0.27768754959106445,0.22585201263427734,88553.56109837304,3.2053234577178955
20000,10,32,200,100,0.99954,0.2406320571899414,0.2160167694091797,92585.40461789767,3.2053234577178955
20000,10,32,100,200,0.99945,0.13135313987731934,0.3143336772918701,63626.65360043264,3.2053234577178955
20000,10,16,200,200,0.9993,0.1726062297821045,0.22385621070861816,89343.0650715023,3.2053234577178955
20000,10,16,100,200,0.99864,0.106689453125,0.20904016494750977,95675.3933150695,3.2053234577178955
20000,10,32,400,50,0.9986299999999999,0.41043972969055176,0.14052677154541016,142321.63579974617,3.2053234577178955
20000,10,32,200,50,0.9984200000000001,0.24226665496826172,0.1276702880859375,156653.51978008845,3.2053234577178955
20000,10,16,400,100,0.9983650000000002,0.2767455577850342,0.1301867961883545,153625.41045302292,3.2053234577178955
20000,10,32,100,100,0.998295,0.13280224800109863,0.18239068984985352,109654.71985694155,3.2053234577178955
20000,10,16,200,100,0.9979650000000001,0.1721935272216797,0.12857270240783691,155554.01438603454,3.2053234577178955
20000,10,32,100,50,0.99675,0.12644481658935547,0.10747933387756348,186082.284644444,3.2053234577178955
20000,10,8,400,200,0.99608,0.21000218391418457,0.11950516700744629,167356.7804708713,3.2053234577178955
20000,10,16,100,100,0.9959899999999999,0.10597681999206543,0.1227264404296875,162964.06813378094,3.2053234577178955
20000,10,16,400,50,0.994625,0.27725982666015625,0.07649779319763184,261445.45043711335,3.2053234577178955
20000,10,16,200,50,0.9940300000000001,0.17276811599731445,0.07568073272705078,264268.05448794685,3.2053234577178955
20000,10,8,200,200,0.9938899999999999,0.11814093589782715,0.11587023735046387,172606.87867159126,3.2053234577178955
20000,10,16,100,50,0.99144,0.10657525062561035,0.07049798965454102,283696.0330075417,3.2053234577178955
20000,10,8,100,200,0.99125,0.07358980178833008,0.11631631851196289,171944.91930161152,3.2053234577178955
20000,10,8,400,100,0.9898050000000002,0.21185708045959473,0.06841087341308594,292351.18632726464,3.2053234577178955
20000,10,8,200,100,0.9873649999999999,0.12173151969909668,0.0683748722076416,292505.1170737661,3.2053234577178955
20000,10,8,100,100,0.980145,0.0732107162475586,0.06557083129882812,305013.6715341207,3.2053234577178955
20000,10,8,400,50,0.9750400000000001,0.2038133144378662,0.04033803939819336,495809.9178438442,3.2053234577178955
20000,10,8,200,50,0.9719900000000001,0.11743712425231934,0.041004180908203125,487755.14001302444,3.2053234577178955
20000,10,8,100,50,0.9633,0.07448339462280273,0.04038596153259277,495221.5879237976,3.2053234577178955
