N,K,M,ef_construction,ef,recall_at_10,build_time_sec,query_time_sec,qps,exact_time_sec,varied_param
20000,10,4,200,100,0.9196200000000001,0.22659683227539062,0.10294151306152344,194285.07902392026,16.215559720993042,M
20000,10,8,200,100,0.9874650000000001,0.29658007621765137,0.16523218154907227,121041.79592920405,16.215559720993042,M
20000,10,12,200,100,0.995605,0.3630187511444092,0.23283910751342773,85896.22342048622,16.215559720993042,M
20000,10,16,200,100,0.9979549999999999,0.4231419563293457,0.2781105041503906,71913.86050339483,16.215559720993042,M
20000,10,24,200,100,0.999215,0.5314435958862305,0.3869211673736572,51690.11593693869,16.215559720993042,M
20000,10,32,200,100,0.9995299999999999,0.5929975509643555,0.47300100326538086,42283.2084116719,16.215559720993042,M
20000,10,48,200,100,0.9996799999999999,0.634990930557251,0.596890926361084,33506.95934000708,16.215559720993042,M
20000,10,64,200,100,0.9997299999999999,0.6742966175079346,0.6526896953582764,30642.432601945,16.215559720993042,M
20000,10,16,200,10,0.95825,0.4102916717529297,0.05192828178405762,385146.5774116977,16.215559720993042,ef
20000,10,16,200,20,0.978065,0.4109158515930176,0.07719874382019043,259071.57306320357,16.215559720993042,ef
20000,10,16,200,50,0.99406,0.387526273727417,0.15105128288269043,132405.3633859728,16.215559720993042,ef
20000,10,16,200,100,0.9979550000000001,0.4236149787902832,0.2833540439605713,70583.07593020624,16.215559720993042,ef
20000,10,16,200,150,0.99892,0.4229733943939209,0.413421630859375,48376.76238281538,16.215559720993042,ef
20000,10,16,200,200,0.99931,0.4257395267486572,0.5283513069152832,37853.6018331584,16.215559720993042,ef
20000,10,16,200,250,0.9994799999999999,0.42303013801574707,0.6199443340301514,32260.961028522423,16.215559720993042,ef
20000,10,16,200,300,0.9996799999999999,0.4262654781341553,0.8046896457672119,24854.302655940704,16.215559720993042,ef
20000,10,16,200,400,0.99985,0.44225120544433594,0.9886646270751953,20229.30673586125,16.215559720993042,ef
20000,10,16,50,100,0.991765,0.14074492454528809,0.2387988567352295,83752.49477084051,16.215559720993042,ef_construction
20000,10,16,100,100,0.995725,0.24996042251586914,0.2631685733795166,75996.91613313535,16.215559720993042,ef_construction
20000,10,16,150,100,0.9972899999999998,0.3381979465484619,0.2848823070526123,70204.43005716878,16.215559720993042,ef_construction
20000,10,16,200,100,0.99798,0.4151484966278076,0.2765383720397949,72322.69378197512,16.215559720993042,ef_construction
20000,10,16,250,100,0.9981450000000001,0.493699312210083,0.2804298400878906,71319.08642008896,16.215559720993042,ef_construction
20000,10,16,300,100,0.99824,0.5582566261291504,0.28017735481262207,71383.35649351699,16.215559720993042,ef_construction
20000,10,16,400,100,0.9984149999999999,0.6684725284576416,0.2848329544067383,70216.59428999996,16.215559720993042,ef_construction
20000,10,16,500,100,0.9984550000000001,0.7867577075958252,0.27771759033203125,72015.60396692398,16.215559720993042,ef_construction
