N,K,M,ef_construction,ef,recall_at_10,build_time_sec,query_time_sec,qps,exact_time_sec,varied_param
20000,10,4,200,100,0.911085,0.17665648460388184,0.07452630996704102,268361.6028868855,14.33668851852417,M
20000,10,8,200,100,0.987525,0.23073315620422363,0.12145709991455078,164667.1953642124,14.33668851852417,M
20000,10,12,200,100,0.9955800000000001,0.28914356231689453,0.16819000244140625,118913.1322295305,14.33668851852417,M
20000,10,16,200,100,0.9979549999999999,0.3393092155456543,0.21218490600585938,94257.41150243604,14.33668851852417,M
20000,10,24,200,100,0.999215,0.43314623832702637,0.2945866584777832,67891.73720000064,14.33668851852417,M
20000,10,32,200,100,0.99954,0.47963809967041016,0.35283446311950684,56683.80526996848,14.33668851852417,M
20000,10,48,200,100,0.9996950000000001,0.5163254737854004,0.4320089817047119,46295.333770792895,14.33668851852417,M
20000,10,64,200,100,0.999705,0.5352644920349121,0.4934985637664795,40526.96698315799,14.33668851852417,M
20000,10,16,200,10,0.9585550000000002,0.3416612148284912,0.04113340377807617,486222.83018211747,14.33668851852417,ef
20000,10,16,200,20,0.9782200000000001,0.3424644470214844,0.06160402297973633,324654.12212735985,14.33668851852417,ef
20000,10,16,200,50,0.994125,0.3411290645599365,0.12272047996520996,162971.98320663188,14.33668851852417,ef
20000,10,16,200,100,0.99798,0.34046506881713867,0.21716761589050293,92094.76246257687,14.33668851852417,ef
20000,10,16,200,150,0.9988950000000001,0.3407576084136963,0.30366063117980957,65862.99950143094,14.33668851852417,ef
20000,10,16,200,200,0.9993,0.3238389492034912,0.3649148941040039,54807.29979275614,14.33668851852417,ef
20000,10,16,200,250,0.999495,0.3416604995727539,0.46225619316101074,43266.0509386268,14.33668851852417,ef
20000,10,16,200,300,0.9996649999999999,0.33991122245788574,0.542924165725708,36837.55718124407,14.33668851852417,ef
20000,10,16,200,400,0.9998549999999999,0.3403134346008301,0.69189453125,28906.139731827807,14.33668851852417,ef
20000,10,16,50,100,0.99164,0.11739015579223633,0.1849532127380371,108135.4560103126,14.33668851852417,ef_construction
20000,10,16,100,100,0.9958600000000001,0.20596528053283691,0.20610570907592773,97037.583721818,14.33668851852417,ef_construction
20000,10,16,150,100,0.9973549999999999,0.27765393257141113,0.21398520469665527,93464.4057674545,14.33668851852417,ef_construction
20000,10,16,200,100,0.9979600000000001,0.33965229988098145,0.21625328063964844,92484.14609407386,14.33668851852417,ef_construction
20000,10,16,250,100,0.9981650000000002,0.3954806327819824,0.21629667282104492,92465.59246219746,14.33668851852417,ef_construction
20000,10,16,300,100,0.99828,0.4649190902709961,0.23693609237670898,84410.94727012565,14.33668851852417,ef_construction
20000,10,16,400,100,0.998425,0.5627985000610352,0.21903109550476074,91311.23575814508,14.33668851852417,ef_construction
20000,10,16,500,100,0.99845,0.645071268081665,0.21937775611877441,91166.94579176797,14.33668851852417,ef_construction
