threshold,n_pairs,n_drop,drop_rate,n_components,duplicate_components,max_component_size
0.8,4334114,99984,0.99984,16,1,99985
0.82,4086105,99650,0.9965,350,8,99642
0.84,3209563,95144,0.95144,4856,81,95041
0.86,1684274,78203,0.78203,21797,504,77581
0.88,457458,44781,0.44781,55219,1787,42135
0.9,68561,13183,0.13183,86817,2430,8797
0.92,19517,2218,0.02218,97782,749,485
0.94,3116,693,0.00693,99307,167,342
0.96,112,91,0.00091,99909,56,11
0.98,24,18,0.00018,99982,13,5
