threshold,n_pairs,n_drop,drop_rate,n_components,duplicate_components,max_component_size
0.8,4374437,99950,0.9995,50,2,99950
0.82,4021548,99335,0.99335,665,10,99326
0.84,3091154,93938,0.93938,6062,75,93846
0.86,1591326,76925,0.76925,23075,458,76296
0.88,442277,44236,0.44236,55764,1700,41672
0.9,68116,13129,0.13129,86871,2397,8775
0.92,19453,2214,0.02214,97786,745,485
0.94,3115,692,0.00692,99308,166,342
0.96,111,90,0.0009,99910,55,11
0.98,23,17,0.00017,99983,12,5
