threshold,n_pairs,n_drop,drop_rate,n_components,duplicate_components,max_component_size
0.8,2952010,99179,0.99179,821,13,99162
0.82,1204282,90378,0.90378,9622,331,89974
0.84,282563,54414,0.54414,45586,3055,49622
0.86,66833,17603,0.17603,82397,4253,8993
0.88,25175,4311,0.04311,95689,1717,520
0.9,7327,1368,0.01368,98632,500,419
0.92,1461,477,0.00477,99523,176,159
0.94,215,119,0.00119,99881,69,19
0.96,41,34,0.00034,99966,25,5
0.98,16,13,0.00013,99987,9,5
