threshold,n_pairs,n_drop,drop_rate,n_components,duplicate_components,max_component_size
0.8,9899,1390,0.0139,98610,370,299
0.82,7347,1042,0.01042,98958,267,235
0.84,5357,764,0.00764,99236,192,160
0.86,3770,584,0.00584,99416,137,144
0.88,2445,443,0.00443,99557,116,82
0.9,1594,348,0.00348,99652,87,52
0.92,1052,260,0.0026,99740,73,50
0.94,712,197,0.00197,99803,65,31
0.96,417,141,0.00141,99859,50,20
0.98,203,76,0.00076,99924,36,15
