threshold,n_pairs,n_drop,drop_rate,n_components,duplicate_components,max_component_size
0.8,53009,13891,0.13891,86109,2836,8720
0.82,20073,7222,0.07222,92778,1944,2902
0.84,6933,3478,0.03478,96522,1187,987
0.86,2329,1491,0.01491,98509,665,152
0.88,820,601,0.00601,99399,332,30
0.9,273,212,0.00212,99788,143,11
0.92,106,87,0.00087,99913,65,6
0.94,43,35,0.00035,99965,29,5
0.96,23,17,0.00017,99983,13,5
0.98,14,13,0.00013,99987,10,5
