threshold,n_pairs,n_drop,drop_rate,n_components,duplicate_components,max_component_size
0.8,3072815,99328,0.99328,672,14,99310
0.82,1263455,90959,0.90959,9041,329,90561
0.84,286215,54665,0.54665,45335,3081,49870
0.86,66891,17618,0.17618,82382,4259,9000
0.88,25196,4312,0.04312,95688,1718,520
0.9,7332,1368,0.01368,98632,500,419
0.92,1461,477,0.00477,99523,176,159
0.94,215,119,0.00119,99881,69,19
0.96,41,34,0.00034,99966,25,5
0.98,16,13,0.00013,99987,9,5
